Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Effect Image,Effect Layer 2,Effect Layer 3,Button Icon,Number of Layers
Splatter,splatter,6658bd709a3737b680b2f8c6,66719a77915f62f333608d98,false,false,Tue Jun 18 2024 14:32:23 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 16:57:29 GMT+0000 (Coordinated Universal Time),Wed Apr 16 2025 16:27:01 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/647500086bc1051dc12ba03d/66f5923d87fcc26327e42da7_SplatterMockup_Layer_One.jpg,https://cdn.prod.website-files.com/647500086bc1051dc12ba03d/66f5924041a5900937dc9c60_SplatterMockup_Layer_Two.jpg,https://cdn.prod.website-files.com/647500086bc1051dc12ba03d/66f5924279920d6110c6713f_SplatterMockup_Layer_Three.jpg,https://cdn.prod.website-files.com/647500086bc1051dc12ba03d/66719a7314944f2914e842ff_Frame%201160444426.svg,3
Swirl,swirl,6658bd709a3737b680b2f8c6,6658be0339a3864085bbfb40,false,false,Thu May 30 2024 17:57:23 GMT+0000 (Coordinated Universal Time),Thu Jun 27 2024 19:55:39 GMT+0000 (Coordinated Universal Time),Wed Apr 16 2025 16:27:01 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/647500086bc1051dc12ba03d/6658bde86dc34818dc550bb7_65a7ec94419a58fe3aa20844_smoke.jpg,,,https://uploads-ssl.webflow.com/647500086bc1051dc12ba03d/6658bdeb9a3737b680b4cee9_65a171d6cf89999c715c28cb_Frame%201160444426.svg,1
